TransactionId,ProductName,ProductPrice,CustomerName,SaleDateTime
TXN-20401,Smartphone,850.0,Sara Ali Khan,2024-01-02 04:11:22
TXN-20429,Tablet,500.0,Manish Malhotra,2024-01-02 05:32:14
TXN-20179,Monitor,300.0,Ishani Das,2024-01-03 01:10:29
TXN-20573,Keyboard,45.0,Ananya Verma,2024-01-03 19:05:37
TXN-20980,Keyboard,45.0,Ananya Verma,2024-01-03 23:10:51
TXN-20842,Mouse,25.0,Priya Singh,2024-01-04 01:03:56
TXN-20818,Keyboard,45.0,Rohan Gupta,2024-01-05 00:23:07
TXN-20787,Tablet,500.0,Manish Malhotra,2024-01-05 06:39:25
TXN-20643,Keyboard,45.0,Sneha Kulkarni,2024-01-05 20:23:41
TXN-21183,Headphones,150.0,Arjun Sharma,2024-01-06 04:44:16
TXN-20770,Keyboard,45.0,Rohan Gupta,2024-01-06 07:44:22
TXN-20795,Keyboard,45.0,Vikram Malhotra,2024-01-06 15:49:04
TXN-20227,Headphones,150.0,Ananya Verma,2024-01-07 00:32:41
TXN-20263,Monitor,300.0,Ananya Verma,2024-01-09 04:27:53
TXN-20186,Keyboard,45.0,Kabir Mehra,2024-01-09 08:06:46
TXN-20007,Keyboard,45.0,Kabir Mehra,2024-01-09 19:07:18
TXN-20342,Laptop,1200.0,Kabir Mehra,2024-01-09 23:06:05
TXN-21132,Webcam,75.0,Sneha Kulkarni,2024-01-10 03:18:02
TXN-20758,Headphones,150.0,Manish Malhotra,2024-01-10 07:21:58
TXN-20549,Tablet,500.0,Karan Johar,2024-01-10 22:09:56
TXN-20672,Mouse,25.0,Arjun Sharma,2024-01-12 08:29:55
TXN-20943,Mouse,25.0,Manish Malhotra,2024-01-13 13:57:33
TXN-20213,Keyboard,45.0,Kabir Mehra,2024-01-14 04:12:14
TXN-21054,Webcam,75.0,Vikram Malhotra,2024-01-14 06:26:42
TXN-20925,Tablet,500.0,Manish Malhotra,2024-01-14 12:37:48
TXN-20389,Smartphone,850.0,Kabir Mehra,2024-01-15 18:35:03
TXN-20849,Headphones,150.0,Rohan Gupta,2024-01-15 19:32:51
TXN-20831,Webcam,75.0,Sneha Kulkarni,2024-01-17 04:31:15
TXN-20684,Laptop,1200.0,Priya Singh,2024-01-17 04:35:38
TXN-20462,Tablet,500.0,Rohan Gupta,2024-01-17 08:26:21
TXN-20253,Monitor,300.0,Vikram Malhotra,2024-01-17 13:23:37
TXN-20417,Monitor,300.0,Manish Malhotra,2024-01-17 23:18:04
TXN-20307,Webcam,75.0,Rahul Joshi,2024-01-18 13:01:48
TXN-20407,Keyboard,45.0,Meera Nair,2024-01-18 22:51:12
TXN-20185,Smartphone,850.0,Karan Johar,2024-01-19 04:54:53
TXN-21110,Headphones,150.0,Kabir Mehra,2024-01-20 05:31:14
TXN-20199,Monitor,300.0,Ananya Verma,2024-01-20 11:41:07
TXN-20877,Smartphone,850.0,Manish Malhotra,2024-01-20 13:54:40
TXN-20879,Tablet,500.0,Manish Malhotra,2024-01-20 15:05:55
TXN-20722,Keyboard,45.0,Ananya Verma,2024-01-20 16:54:34
TXN-20120,Monitor,300.0,Meera Nair,2024-01-21 12:00:26
TXN-20867,Keyboard,45.0,Manish Malhotra,2024-01-21 14:44:20
TXN-21162,Webcam,75.0,Sara Ali Khan,2024-01-22 02:46:08
TXN-20376,Headphones,150.0,Sara Ali Khan,2024-01-22 05:07:52
TXN-20491,Laptop,1200.0,Sneha Kulkarni,2024-01-22 22:20:44
